id,asassn_name,source,TIC,RA_ICRS,DE_ICRS,period,p2,p2_method_i,group,has_tess,tess_sectors,Gmag,absolute_g,bp_rp,bp_rp_corrected,parallax_over_error,rpgeo,mwdust_av,mwdust_ag,mwdust_abp,mwdust_arp,gaia_filter,state,r1,xray_source,xray_observatory,xray_citation_key,xray_ads_link,xray_exposure,xray_luminosity,xray_separation
42532572,ASASSN-V J104445.56-334820.8,5444551099919040512,54242408,161.18968294645583,-33.805783709173724,0.4912313197926913,0.49148939629058847,99,spots,True,36-9,14.193355,7.277670597598071,1.7028679999999987,1.6571791470879174,243.1323615916492,232.102585,0.110626762498986,0.0872845156116999,0.110848016023984,0.0651591631119027,True,ms,99.9,True,XMM-NEWTON,Webb20,https://ui.adsabs.harvard.edu/abs/2020A%26A...641A.136W/abstract,8536.0,1.1532668235076722e+30,2.677291212855314
55289545,ASASSN-V J120333.40-483149.5,6130653880442363520,333013234,180.88900909712905,-48.530403248236944,3.462903790298162,3.473353563576973,99,spots,True,10,14.188323,3.092146564254994,1.438378499999999,1.2899963964572425,38.187888317632606,1453.922,0.3592787010720494,0.283470895145847,0.3599972584741935,0.2116151549314371,True,rg,31.1,False,,,,,,
44883189,ASASSN-V J070728.49-291947.5,5609268455845044480,64456569,106.86872413015574,-29.32990387959426,3.564549354891917,3.52854414157074,99,spots,True,7,14.17631,3.4192141182720492,1.2367100000000004,1.1702500414854962,42.78596551778276,1336.67554,0.1609199964031577,0.1269658771620914,0.161241836395964,0.0947818778814598,True,sg,99.9,False,,,,,,
19050917,ASASSN-V J064446.89-174627.8,2945807331190292480,322738148,101.19553851587128,-17.774390802628954,3.327727823602805,3.3041829970277576,99,spots,True,6,14.176208,3.0667452986453947,1.4537879999999994,1.1098539592616377,39.534770696888664,1231.6333,0.8327700744270258,0.6570555887229234,0.8344356145758798,0.4905015738375181,True,sg,99.9,False,,,,,,
59990948,ASASSN-V J190931.83-295204.1,6759146409192386048,1478849,287.3828311782699,-29.86778802027496,7.322049613901608,7.384755106264292,99,spots,True,13,14.165364,3.095414574681862,1.2780489999999993,1.1894357219806604,32.564713662567975,1514.02246,0.2145599952042102,0.1692878362161219,0.2149891151946187,0.1263758371752798,True,rg,99.9,False,,,,,,
27804494,ASASSN-V J180631.44-330249.1,4042665558407523712,55174383,271.63123818656777,-33.046515167532164,4.823149062530883,0.919533734764343,1,extra_eclipses,True,13,14.160975,1.7408983561047808,1.1735559999999996,0.7682449080075723,14.67017575722168,2133.79712,0.981382789327911,0.7743110207797218,0.9833455549065668,0.5780344629141395,True,sg,12.1,False,,,,,,
13589984,ASASSN-V J232332.11+605312.9,2015432374533799424,269811101,350.8837968498784,60.8869104527927,1.0945107752894554,1.65947332722974,2,extra_eclipses,True,17-24,14.153484,,0.9036685000000002,,,,,,,,False,,33.3,False,,,,,,
12060889,ASASSN-V J213709.74+393231.4,1953954350090102016,304967092,324.29051249809424,39.54215780343832,10.254069888208736,9.80041224381998,99,spots,True,15-16,14.152239,1.4568664713612445,1.3678410000000003,1.1177228709677423,22.2246820853916,2776.57104,0.6056129032258065,0.4778285806451613,0.6068241290322581,0.356706,True,rg,33.1,False,,,,,,
42574966,ASASSN-V J103635.31-314812.5,5448204261662860928,53934906,159.14709751909174,-31.80345186391128,0.8667802934160458,0.867949029148937,99,spots,True,9,14.143564,5.309064988907361,1.2191500000000008,1.136340171155978,91.68115874059119,543.575195,0.2005080601550191,0.1582008594623101,0.2009090762753291,0.1180992474313062,True,ms,99.9,False,,,,,,
46957766,ASASSN-V J090531.33-100330.0,5743326067457954944,95928255,136.38058245701885,-10.058343190659054,2.36533023065654,8.85819109784014,0,extra_eclipses,True,35-8,14.140775,6.1232076042835395,1.5526560000000007,1.5083493609903313,81.96150090922869,385.997681,0.1072799976021051,0.0846439181080609,0.1074945575973093,0.0631879185876399,True,ms,99.9,False,,,,,,
58563160,ASASSN-V J194152.25-485936.6,6647226673914344576,166281760,295.4671699114081,-48.99337386037495,2.777961195380087,2.7592981435945934,99,spots,True,13-27,14.134913,3.9105766638793296,1.3995394999999995,1.3522715758067967,46.96465376420328,1063.67029,0.1144501796445592,0.0903011917395572,0.1146790800038483,0.0674111558106454,True,sg,99.9,False,,,,,,
